log_n,witness_value,cumulative_max_witness_value
367.2404702737,1.7174621150,1.7685754108
367.5403329964,1.7051610152,1.7685754108
367.8396700144,1.7336161255,1.7685754108
368.1384366341,1.7126525840,1.7685754108
368.4366637822,1.7063851618,1.7685754108
368.7342087852,1.7139953439,1.7685754108
369.0312686540,1.7215283994,1.7685754108
369.3279132374,1.7139349557,1.7685754108
369.4006574260,1.7686855164,1.7686855164
369.6239400980,1.7150373060,1.7686855164
369.9194112949,1.7151976560,1.7686855164
370.2143939224,1.7083200371,1.7686855164
370.5088927499,1.7128429545,1.7686855164
370.8027761162,1.7178861846,1.7686855164
371.0963363370,1.7225489074,1.7686855164
371.3893172144,1.7226375705,1.7686855164
371.6817638489,1.7065112976,1.7686855164
371.9737158456,1.7044891666,1.7686855164
372.2652401878,1.7076640446,1.7686855164
372.5562614502,1.7170120114,1.7686855164
372.8469191923,1.7126090591,1.7686855164
373.1371254197,1.7142589106,1.7686855164
373.4267605939,1.7026138299,1.7686855164
373.7158977833,1.7256792729,1.7686855164
374.0047367447,1.7263302503,1.7686855164
374.2931319845,1.7307662166,1.7686855164
374.5810730153,1.7059520632,1.7686855164
374.8686334229,1.7194332511,1.7686855164
375.1557417827,1.7054778248,1.7686855164
375.3060192741,1.7687597437,1.7687597437
375.4424604717,1.7223374759,1.7687597437
375.7287761957,1.6958385174,1.7687597437
376.0147499975,1.7083989520,1.7687597437
376.3003888482,1.7339011861,1.7687597437
376.5855005695,1.7104213604,1.7687597437
376.8702950526,1.6980312383,1.7687597437
377.1547033192,1.7077886206,1.7687597437
377.4388482059,1.7266284830,1.7687597437
377.7225160078,1.7222451729,1.7687597437
378.0059252195,1.7051775688,1.7687597437
378.2888538436,1.7390095043,1.7687597437
378.5715670297,1.7202100069,1.7687597437
378.8538932220,1.7145816235,1.7687597437
379.1359790336,1.7134800354,1.7687597437
379.4175776471,1.7118001421,1.7687597437
379.6989179642,1.6985380252,1.7687597437
379.9800678348,1.7174214928,1.7687597437
380.2607760925,1.7095976711,1.7687597437
380.5412205961,1.7249819376,1.7687597437
380.8212734599,1.7147477424,1.7687597437
381.1011216860,1.7118172750,1.7687597437
381.2275976937,1.7688303488,1.7688303488
381.3808053714,1.7259484955,1.7688303488
381.6600026545,1.7176052390,1.7688303488
381.9390073724,1.7082131367,1.7688303488
382.2177967472,1.6981488536,1.7688303488
382.4961975813,1.7097108072,1.7688303488
382.7745847157,1.7323245828,1.7688303488
383.0524754117,1.7122957462,1.7688303488
383.3301223528,1.7129557849,1.7688303488
383.6076769144,1.7071063922,1.7688303488
383.8848508803,1.7067660068,1.7688303488
384.1620019124,1.7153118254,1.7688303488
384.4387395508,1.7174870628,1.7688303488
384.7153503742,1.7072869163,1.7688303488
384.9917952209,1.7301460372,1.7688303488
385.2678453601,1.7156525897,1.7688303488
385.5438682455,1.7169477585,1.7688303488
385.8195744005,1.7198107447,1.7688303488
386.0952077135,1.6962625925,1.7688303488
386.3706116097,1.7373094502,1.7688303488
386.6457372135,1.7215554409,1.7688303488
386.9207963031,1.7177404869,1.7688303488
387.1651338988,1.7688977455,1.7688977455
387.1956160476,1.7050577333,1.7688977455
387.4703553809,1.7270973048,1.7688977455
387.7448436982,1.7318492621,1.7688977455
388.0192501720,1.7008265359,1.7688977455
388.2933675897,1.7129795111,1.7688977455
388.5675310872,1.7040591395,1.7688977455
388.8413974486,1.7021610707,1.7688977455
389.1151824072,1.7234410299,1.7688977455
389.3888256519,1.7387963598,1.7688977455
389.6623449391,1.7163687357,1.7688977455
389.9357784193,1.7073772962,1.7688977455
390.2090495894,1.7166592076,1.7688977455
390.4822488111,1.7163718269,1.7688977455
390.7553339376,1.7028356991,1.7688977455
391.0283462757,1.7106269598,1.7688977455
391.3012512741,1.7277239758,1.7688977455
391.5740145580,1.7293396063,1.7688977455
391.8467132147,1.6956180763,1.7688977455
392.1194380111,1.7272060756,1.7688977455
392.3920227059,1.7149509619,1.7688977455
392.6645040288,1.7115849632,1.7688977455
392.9369101759,1.7381271069,1.7688977455
393.1131688880,1.7689901658,1.7689901658
393.2093246959,1.7176228178,1.7689901658
393.4817618388,1.7017752176,1.7689901658
393.7539716248,1.7149972731,1.7689901658
394.0262215602,1.7008730920,1.7689901658
394.2984582143,1.7176780038,1.7689901658
394.5706828588,1.7139469686,1.7689901658
394.8429298898,1.7059226816,1.7689901658
395.1150364133,1.7042332159,1.7689901658
395.3871632974,1.7147701927,1.7689901658
395.6593676267,1.7259009815,1.7689901658
395.9314831694,1.7112471409,1.7689901658
396.2036171667,1.7088847994,1.7689901658
396.4757700292,1.7388380653,1.7689901658
396.7480121380,1.7099929999,1.7689901658
397.0202532880,1.7391809398,1.7689901658
397.2924479637,1.7277408952,1.7689901658
397.5647428344,1.7238254349,1.7689901658
397.8370958274,1.7153270377,1.7689901658
398.1095130568,1.7079144205,1.7689901658
398.3817976975,1.7159477716,1.7689901658
398.6543961556,1.7140204617,1.7689901658
398.9268643350,1.7103306159,1.7689901658
399.1995699532,1.7089193329,1.7689901658
399.4722353572,1.7270577745,1.7689901658
399.7450221420,1.7140144708,1.7689901658
400.0179763152,1.7128583227,1.7689901658
400.2909546210,1.7124335931,1.7689901658
400.5640657545,1.7035962949,1.7689901658
400.8372582546,1.7184398557,1.7689901658
401.1105745091,1.7119854112,1.7689901658
401.3840585491,1.7164444455,1.7689901658
401.6577504033,1.7190455576,1.7689901658
401.9313339397,1.7061201056,1.7689901658
402.2053825182,1.7260736919,1.7689901658
402.4793825183,1.7136801643,1.7689901658
402.7536458949,1.7205778857,1.7689901658
403.0280636981,1.7114316670,1.7689901658
403.3026131825,1.7225871071,1.7689901658
403.5773655111,1.7242716206,1.7689901658
403.8524045720,1.7294681697,1.7689901658
404.1274885441,1.7162792185,1.7689901658
404.4029333431,1.7110418627,1.7689901658
404.6785816363,1.7085434809,1.7689901658
404.9544060422,1.7085433406,1.7689901658
405.2304800593,1.7077553777,1.7689901658
405.5067257049,1.7422736467,1.7689901658
405.7833301527,1.7143578416,1.7689901658
406.0601704879,1.7014331607,1.7689901658
406.3373431252,1.7374862422,1.7689901658
406.6147036849,1.7220455708,1.7689901658
406.8923648896,1.7055616737,1.7689901658
407.1702748303,1.7277022854,1.7689901658
407.4486427193,1.7204982574,1.7689901658
407.7272706012,1.7050360446,1.7689901658
408.0062662023,1.7224396465,1.7689901658
408.2854662809,1.7239948942,1.7689901658
408.5651287980,1.7345936949,1.7689901658
408.8452129626,1.7235009193,1.7689901658
409.1254759615,1.7140948446,1.7689901658
409.4063044261,1.7177571762,1.7689901658
409.6874329778,1.7050424842,1.7689901658
409.9691003534,1.7188353780,1.7689901658
410.2510181060,1.6981455774,1.7689901658
410.5335056292,1.7096043830,1.7689901658
410.8162625785,1.7139741858,1.7689901658
411.0996381312,1.7134478154,1.7689901658
411.3834145759,1.6998939848,1.7689901658
411.6676095872,1.7125300948,1.7689901658
411.9524733896,1.7093015333,1.7689901658
412.2376781218,1.7155458020,1.7689901658
412.5234342926,1.7042430512,1.7689901658
412.8097948300,1.6976150006,1.7689901658
413.0966036957,1.7160014510,1.7689901658
413.3839454730,1.7130114832,1.7689901658
413.6719526892,1.7160929300,1.7689901658
413.9604874705,1.7133206611,1.7689901658
414.2497101390,1.7325523764,1.7689901658
414.5394702272,1.7287339800,1.7689901658
414.8298634844,1.7100312925,1.7689901658
415.1209179979,1.7289565974,1.7689901658
415.4126554275,1.7202265634,1.7689901658
415.7050499668,1.7396567294,1.7689901658
415.9981392143,1.7111128255,1.7689901658
416.2920357458,1.7195418082,1.7689901658
416.5866435676,1.7007150086,1.7689901658
416.8818984486,1.7331501369,1.7689901658
417.1780894709,1.7444403341,1.7689901658
417.4750209825,1.7205852341,1.7689901658
417.7728890211,1.7118377922,1.7689901658
418.0714369574,1.7132549037,1.7689901658
418.3708351307,1.7154721761,1.7689901658
418.6711650584,1.7169369864,1.7689901658
418.9724240493,1.7068268823,1.7689901658
419.2746421550,1.7229811060,1.7689901658
419.5777290523,1.7110569676,1.7689901658
419.8818484343,1.7354045401,1.7689901658
420.1869395979,1.7095674643,1.7689901658
420.4930393788,1.6996195097,1.7689901658
420.8002067362,1.7030597390,1.7689901658
421.1084273368,1.7028972330,1.7689901658
421.4177589242,1.7172189040,1.7689901658
421.7282010857,1.7173137889,1.7689901658
422.0396951293,1.7093087027,1.7689901658
422.3524332396,1.7060636872,1.7689901658
422.6664056883,1.7329905678,1.7689901658
422.9814272383,1.7234536397,1.7689901658
423.2979141638,1.7085873991,1.7689901658
423.6155322975,1.7165470448,1.7689901658
423.9344795370,1.7314135666,1.7689901658
424.2547721505,1.7109206699,1.7689901658
424.5763429275,1.7285000756,1.7689901658
424.8994198223,1.7095700763,1.7689901658
425.2237963335,1.7019587975,1.7689901658
425.5496044464,1.7244402659,1.7689901658
425.8768500352,1.7068288300,1.7689901658
426.2056277655,1.7128769599,1.7689901658
426.5358907371,1.7062998598,1.7689901658
426.8677408356,1.7224769522,1.7689901658
427.2010644387,1.7242206849,1.7689901658
427.5360264626,1.7049575314,1.7689901658
427.8725599758,1.7213555063,1.7689901658
428.2105513776,1.7288000444,1.7689901658
428.5504970998,1.7089651354,1.7689901658
428.8918915146,1.7122424036,1.7689901658
429.2350061084,1.7035579214,1.7689901658
429.5798068141,1.7200546618,1.7689901658
429.9263367316,1.7199870464,1.7689901658
430.2747151494,1.7221214282,1.7689901658
430.6248003745,1.7121936725,1.7689901658
430.9766866091,1.7168096170,1.7689901658
431.3304351439,1.7129431992,1.7689901658
431.6859582685,1.7104611802,1.7689901658
432.0432970604,1.7186521981,1.7689901658
432.4026754437,1.7150555533,1.7689901658
432.7637351919,1.7068113959,1.7689901658
433.1269025350,1.7178950495,1.7689901658
433.4919247136,1.7169485049,1.7689901658
433.8589531170,1.7048274802,1.7689901658
434.2279395715,1.7312165608,1.7689901658
434.5989409626,1.7221702388,1.7689901658
434.9720603639,1.7041207378,1.7689901658
435.3470641335,1.7158098525,1.7689901658
435.7242746817,1.7177083181,1.7689901658
436.1036035010,1.7245441657,1.7689901658
436.4851794308,1.7032442773,1.7689901658
436.8687221618,1.7108870520,1.7689901658
437.2547363557,1.7118067545,1.7689901658
437.6428329675,1.7021546271,1.7689901658
438.0333481548,1.7199688360,1.7689901658
438.4261011858,1.7022068353,1.7689901658
438.8211053027,1.7292360694,1.7689901658
439.2187336392,1.7109000943,1.7689901658
439.6187584591,1.7069885497,1.7689901658
440.0212769443,1.7125213265,1.7689901658
440.4262177027,1.7153417004,1.7689901658
440.8337820225,1.7085413707,1.7689901658
441.2441759171,1.7282337337,1.7689901658
441.6571013404,1.7160561148,1.7689901658
442.0726619747,1.7036855730,1.7689901658
442.4912586705,1.7265732300,1.7689901658
442.9124988495,1.7211685055,1.7689901658
443.3368662899,1.7052658415,1.7689901658
443.7640706864,1.7144082236,1.7689901658
444.1942647265,1.7144594182,1.7689901658
444.6275861474,1.7109443756,1.7689901658
445.0641741228,1.7057198268,1.7689901658
445.5040060624,1.7290302056,1.7689901658
445.9471118877,1.7131155867,1.7689901658
446.3937961106,1.7220862764,1.7689901658
446.8437733682,1.7083899068,1.7689901658
447.2974332992,1.7094129403,1.7689901658
447.7550205110,1.7166991393,1.7689901658
448.2160887305,1.7049061997,1.7689901658
448.6810894673,1.7153194808,1.7689901658
449.1501397879,1.7093128491,1.7689901658
449.6233390447,1.7088544159,1.7689901658
450.1008460549,1.7160762723,1.7689901658
450.5827319893,1.7131838286,1.7689901658
451.0687942179,1.7129171402,1.7689901658
451.5596970085,1.7221184823,1.7689901658
452.0555246278,1.7308929722,1.7689901658
452.5560634395,1.7071661246,1.7689901658
453.0616892241,1.7220341156,1.7689901658
453.5724095826,1.7259376300,1.7689901658
454.0885156501,1.7151446781,1.7689901658
454.6103622977,1.7103163377,1.7689901658
455.1378307920,1.7189073444,1.7689901658
455.6713837132,1.7106698000,1.7689901658
456.2110324959,1.7167782360,1.7689901658
456.7571113576,1.7196529844,1.7689901658
457.3098462073,1.7292545449,1.7689901658
457.8693536501,1.7247927438,1.7689901658
458.4363337296,1.7063589661,1.7689901658
459.0106125759,1.6980250849,1.7689901658
459.5927479477,1.7099300765,1.7689901658
460.1828796342,1.7111914141,1.7689901658
460.7814578629,1.7143899931,1.7689901658
461.3888496418,1.7221421117,1.7689901658
462.0050885244,1.7210153820,1.7689901658
462.6311355193,1.7210425368,1.7689901658
463.2668081316,1.7039768916,1.7689901658
463.9130394853,1.7126529805,1.7689901658
464.5701449033,1.7251436023,1.7689901658
465.2386223785,1.7127740559,1.7689901658
465.9194205861,1.7158738761,1.7689901658
466.6128338506,1.7042885642,1.7689901658
467.3194942229,1.7188578931,1.7689901658
468.0404559500,1.7248386823,1.7689901658
468.7765170874,1.7253619497,1.7689901658
469.5284087659,1.7005914592,1.7689901658
470.2969759621,1.7084636357,1.7689901658
471.0832505266,1.7052420956,1.7689901658
471.8882662206,1.7073541136,1.7689901658
472.7134939530,1.7110119306,1.7689901658
473.5600556969,1.7029606610,1.7689901658
474.4293693573,1.7100579818,1.7689901658
475.3239115385,1.7287003015,1.7689901658
476.2451345431,1.7064735724,1.7689901658
477.1954344858,1.6969597365,1.7689901658
478.1773460985,1.7151411022,1.7689901658
479.1937724340,1.7065385571,1.7689901658
480.2470877491,1.7004637332,1.7689901658
481.3417071819,1.7166837566,1.7689901658
482.4814671836,1.7106605845,1.7689901658
483.6714594372,1.7258322055,1.7689901658
484.9171531143,1.7086884357,1.7689901658
486.2269418260,1.7220164322,1.7689901658
487.6085130938,1.7238464642,1.7689901658
489.0731062431,1.7137349655,1.7689901658
490.6339961366,1.7116862292,1.7689901658
492.3061940784,1.7111920545,1.7689901658
494.1110918482,1.7083983961,1.7689901658
496.0783751065,1.6957076042,1.7689901658
498.2493603286,1.7103595311,1.7689901658
500.6795770885,1.7065768429,1.7689901658
503.4554853269,1.7028662973,1.7689901658
506.7150144487,1.7102269071,1.7689901658
510.7196283501,1.7055940610,1.7689901658
516.0211519533,1.7027320279,1.7689901658
524.2881976027,1.7034597913,1.7689901658
